MicrosoftSurfacePartnerReportingUS Summary,,,,
Product Code,Vendor Item No,Product Name,Stock on Hand,Qty On Order
8MR00001,8MR-00001,"Srfc Lptp4 13"" i7/16/256 Blk",1,0
9Y100001,9Y1-00001,SrfcLptStudio i5/16/512 Plat,0,0
EIN00001,EIN-00001,Srfc Pro8 i5/16/256 LTE Plat,0,0
EP204467,EP2-04467,SrLt6 15 Ultra7 16 512 Black,0,0
EP214737,EP2-14737,Pro10 5G i5/16/256 Platinum,0,140
EP214777,EP2-14777,Pro10 5G i5/8/256 Platinum,0,514
EP214797,EP2-14797,Pro10 5G i7/16/256 Platinum,0,28
EP214807,EP2-14807,Pro10 5G i7/16/256 Plat DEMO,0,0
EP214821,EP2-14821,Pro10 5G i7/32/512 Platinum,0,0
EP214831,EP2-14831,Pro10 5G i7/32/512 Plat DEMO,0,0
EP217624,EP2-17624,Pro10 5G i5/16/256 TAA Plat,0,10
EP217625,EP2-17625,Pro10 U5 8G 256G 11P TAA PLT,0,10
EP217626,EP2-17626,Pro10 5G i7/16/256 TAA Plat,0,0
EP217627,EP2-17627,Pro10 5G i7/32/512 TAA 11P,5,42
EP220032,EP2-20032,"Pro11 13"" CU7/32/256 Platinum",0,26
EP220049,EP2-20049,"Pro11 13"" CU7/32/512 Platinum",0,3
EP220077,EP2-20077,"Pro11 13"" CU7/32/1T Platinum",0,5
EP220094,EP2-20094,"Pro11 13"" CU5/16/256 Black",0,470
EP220111,EP2-20111,"Pro11 13"" CU5/16/256 Platinum",348,202
EP220128,EP2-20128,"Pro11 13"" CU5/16/512 Black",0,409
EP220145,EP2-20145,"Pro11 13"" CU5/16/512 Platinum",0,184
EP220162,EP2-20162,"Pro11 13"" CU5/32/256 Platinum",0,0
EP220179,EP2-20179,"Pro11 13"" CU5/32/512 Platinum",0,0
EP220196,EP2-20196,"Pro11 13"" CU7/16/256 Black",0,140
EP220213,EP2-20213,"Pro11 13"" CU7/16/256 Platinum",52,100
EP220230,EP2-20230,"Pro11 13"" CU7/16/512 Black",0,300
EP220247,EP2-20247,"Pro11 13"" CU7/16/512 Platinum",17,156
EP220264,EP2-20264,"Pro11 13"" CU7/16/1T Platinum",0,200
EP220390,EP2-20390,"Pro11 13"" CU5/32/256 Plat DEM",0,0
EP220441,EP2-20441,"Pro11 13"" CU7/32/1T Plat DEMO",0,0
EP220458,EP2-20458,"Pro11 13"" CU7/32/512 Plat DEM",0,0
EP220492,EP2-20492,"Pro11 13"" CU5/16/256 Plat DEM",0,0
EP220878,EP2-20878,"Pro11 13"" CU7/32/256 Plat TAA",0,0
EP220881,EP2-20881,"Pro11 13"" CU5/32/256 Plat TAA",0,0
